Abandon All Technology Save Us
Abandon Fear Defend Future Together
Abandon Fear See Future Destination
Adapt Idea Discover Simple Success
Advance Civilization Pursue Shapers Path
After Imperfect Human Presence Consequence
Answer N'Zeer Question Potential Knowledge
Answer Question Discover Difficult Truth
Avoid Chaos Avoid Shapers Lie
Avoid Chaos Repair Potential War
Avoid Perfection Stay Human Self
Begin Journey Breathe Xm Evolution
Breathe Inside Xm Lose Self
Capture Portal Defend Portal Courage
Change Perspective Begin New Struggle
Chaos War Conflict Discover Peace
Clear Mind Liberate Barrier Body
Clear Your Mind Creativity Grow
Clear Your Mind More Balance
Clearall Thought Past Present Future
Contemplate Field Pursue Human Legacy
Contemplate Future Not Shapers Path
Contemplate Restraint Discover More Courage
Courage Attack Shapers Portal Together
Create New Future See All
Create New Portal Potential Future
Create Pure Future Not War
Create Pure Human Future Civilization
Create Separate Path End Journey
Defend Destiny Defend Human Civilization
Defend Human Civilization Portal Data
Defend Human Civilization Shapers Lie
Defend Human Civilization Shapers Portal
Defend Human Civilization Xm Message
Destroy Civilization End Conflict War
Destroy Lie Inside Gain Soul
Distance Self Avoid Human Lie
Easy Path Future Follow Shapers
End Old Civilization Create New
Escape Before Death End All
Escape Body Journey Outside Present
Escape Body Mind Self Want
Field Together Improve Human Mind
Forget Past See Present Danger
Forget War See Distance Harmony
Gain Truth Open Human Soul
Grow Unbounded Create New Future
Harm Progress Pursue More War
Have Harmony Together End Mystery
Help Enlightenment Capture All Portal
Help Gain Knowledge Inside Resistance
Help Human Civilization Pursue Destiny
Help Resistance Capture All Portal
Help Us Progress Strong Victory
Help Us Save Us All
Help Us Save Us Destroy
Hide Struggle Advance Strong Together
Hide Them Inside Complex Intelligence
Human Evolution Create More Field
Human Legacy Abandon Old Knowledge
Human Legacy Have Abandon Now
Human Not Together Civilization Deteriorate
Human Shapers Together Create Destiny
Imperfect Civilization Lose Key Data
Imperfect Message Begin Human Chaos
Imperfect Truth Accept Complex Answer
Imperfect Xm Message Human Chaos
Inside Mind Inside Soul Harmony
Interrupt Enlightenment Technology Capture Victory
Interrupt Message Lose Collective Potential
Liberate Portal Liberate Human Mind
Liberate Self Liberate Human Civilization
Link All Portal Create Field
Liveagain Die Repeat Evolution Future
Lose Shapers Message Gain Chaos
Mind Body Soul Pure Human
Mind Technology Capture Human Soul
More Data Gain Portal Advance
Mystery Before Pure Knowledge After
N'Zeer Hide Us Equal Them
Nourish Portal Avoid Weak Field
Old Nature Less Strong Now
Past Chaos Create Future Harmony
Past Path Create Future Journey
Portal Barrier Defend Human Shapers
Portal Create Danger Pursue Safety
Portal Improve Human Future Civilization
Portal Potential Help Human Future
Presence Lie Equal Future Consequence
Present Chaos Create Future Civilization
Present Struggle Worth Strong Victory
Pure Human Failure Now Chaos
Pursue Conflict War Advance Chaos
Pursue Path Outside Shapers Lie
Question Less Forget All Lie
Question Potential Mystery Journey Grow
React Rebel Question Shapers Lie
Rebel Thought Evolution Destiny Now
Repair Present Repair Human Soul
Repair Soul Less Human Harm
Resistance Gain All Victory Osiris
Save Human Civilization Destroy Portal
Search Destiny Create Pure Future
See Truth See Future Begin
Separate Mind Body Discover Enlightenment
Separate Truth Lie Shapers Future
Shapers Lead Human Complex Journey
Shapers Portal Data Create Chaos
Shapers Portal Message Destroy Civilization
Shapers See Complex Path Destiny
Shapers Want Human Mind Future
Shield Mind Clearall Chaos Xm
Simple Old Truth Journey Inside
Simple Truth All Human Star
Simple Truth Forget Easy Success
Simple Truth Shapers Destroy Civilization
Stay Strong Together Defend Resistance
Strong Together War Together Chaos
Strong Together War Together Destiny
Technology Intelligence See All Unbounded
Together Progress Recharge Present Journey
Use Key Together Create Star
Use Mind Use Courage Change
Use Restraint Follow Easy Path
Want New Destination Ignore Consequence
Want Truth Pursue Difficult Path
Weak Human Destiny Destroy Civilization
Xm Create Complex Human Destiny
Xm Path Future Destiny Harmony
Xm Portal Share Your Creativity
You Hide Chaos Inside Body
Your Message Clear Use Chaos
